dataset	specimen_id	region_type	crop_path	source_file	area_fraction	candidate_panel_id	class_counts_json	coverage_gain_ids_json	coverage_gain_n	covered_unit_ids_json	covered_unit_n	crop_reason	final_crop_bbox_xyxy	panel_area_fraction	panel_bbox_xyxy	panel_kind	panel_score	queue_id	queue_rank	queue_stage	reason
main500	BM000517025	isolated_text_label_panel	/net/scratch/f70829xm/nhm_scribe_main500_yoloe1000_redpurple_v4_auxbarrier/02_boxlogic/BM000517025/05_final_queue/crops/Q0004_main_isolated_text_label_panel.jpg	extras/csf3_vision_ocr/main500_yoloe26_redpurple_v4/02_boxlogic/BM000517025/05_final_queue/final_ocr_queue.tsv	0.009486152535151256	P0004	"{""handwritten note"": 1}"	"[""Y0087""]"	1	"[""Y0087""]"	1	tight_union_of_text_children	[0, 0, 276, 121]	0.006489987217724755	[14, 1, 252, 97]	text	2.716905250559945	Q0004	4	main	main; isolated_text_label_panel; tight_union_of_text_children; gain=1
main500	BM000517025	isolated_text_label_panel	/net/scratch/f70829xm/nhm_scribe_main500_yoloe1000_redpurple_v4_auxbarrier/02_boxlogic/BM000517025/05_final_queue/crops/Q0005_main_isolated_text_label_panel.jpg	extras/csf3_vision_ocr/main500_yoloe26_redpurple_v4/02_boxlogic/BM000517025/05_final_queue/final_ocr_queue.tsv	0.008387729015764806	P0005	"{""handwritten note"": 1}"	"[""Y0121""]"	1	"[""Y0121""]"	1	tight_union_of_text_children	[348, 930, 541, 1083]	0.004324669791222838	[372, 954, 517, 1059]	text	2.657658580559945	Q0005	5	main	main; isolated_text_label_panel; tight_union_of_text_children; gain=1
main500	BM000521570	small_text_label_panel	/net/scratch/f70829xm/nhm_scribe_main500_yoloe1000_redpurple_v4_auxbarrier/02_boxlogic/BM000521570/05_final_queue/crops/Q0001_main_small_text_label_panel.jpg	extras/csf3_vision_ocr/main500_yoloe26_redpurple_v4/02_boxlogic/BM000521570/05_final_queue/final_ocr_queue.tsv	0.0728518209619127	P0002	"{""handwritten note"": 4, ""printed label"": 1}"	"[""Y0008"", ""Y0035"", ""Y0136"", ""Y0140"", ""Y0150""]"	5	"[""Y0008"", ""Y0035"", ""Y0136"", ""Y0140"", ""Y0150""]"	5	tight_union_of_text_children	[816, 1851, 1424, 2282]	0.050501529051987765	[867, 1887, 1373, 2246]	text	12.755780459228054	Q0001	1	main	main; small_text_label_panel; tight_union_of_text_children; gain=5
main500	BM000521570	main_text_label_panel	/net/scratch/f70829xm/nhm_scribe_main500_yoloe1000_redpurple_v4_auxbarrier/02_boxlogic/BM000521570/05_final_queue/crops/Q0002_main_main_text_label_panel.jpg	extras/csf3_vision_ocr/main500_yoloe26_redpurple_v4/02_boxlogic/BM000521570/05_final_queue/final_ocr_queue.tsv	0.1527889908256881	P0001	"{""barcode label"": 1, ""catalog number"": 5, ""handwritten note"": 1}"	"[""Y0047"", ""Y0090"", ""Y0202"", ""Y0206"", ""Y0227"", ""Y0245"", ""Y0252""]"	7	"[""Y0047"", ""Y0090"", ""Y0202"", ""Y0206"", ""Y0227"", ""Y0245"", ""Y0252""]"	7	tight_union_of_text_children	[1137, 439, 1500, 1953]	0.11332388101195441	[1169, 565, 1492, 1827]	text	14.894169341679836	Q0002	2	main	main; main_text_label_panel; tight_union_of_text_children; gain=7
main500	BM000521570	small_text_label_panel	/net/scratch/f70829xm/nhm_scribe_main500_yoloe1000_redpurple_v4_auxbarrier/02_boxlogic/BM000521570/05_final_queue/crops/Q0003_main_small_text_label_panel.jpg	extras/csf3_vision_ocr/main500_yoloe26_redpurple_v4/02_boxlogic/BM000521570/05_final_queue/final_ocr_queue.tsv	0.056484292465943844	P0003	"{""catalog number"": 1, ""handwritten note"": 2, ""primary specimen label"": 1, ""type specimen label"": 1}"	"[""Y0056"", ""Y0190"", ""Y0216"", ""Y0246"", ""Y0249""]"	5	"[""Y0056"", ""Y0190"", ""Y0216"", ""Y0246"", ""Y0249""]"	5	tight_union_of_text_children	[0, 0, 899, 226]	0.04469057547956631	[1, 5, 817, 202]	text	11.251349249228054	Q0003	3	main	main; small_text_label_panel; tight_union_of_text_children; gain=5
main500	BM000521570	small_text_label_panel	/net/scratch/f70829xm/nhm_scribe_main500_yoloe1000_redpurple_v4_auxbarrier/02_boxlogic/BM000521570/05_final_queue/crops/Q0004_main_small_text_label_panel.jpg	extras/csf3_vision_ocr/main500_yoloe26_redpurple_v4/02_boxlogic/BM000521570/05_final_queue/final_ocr_queue.tsv	0.03996219071448429	P0005	"{""handwritten note"": 1, ""herbarium stamp"": 1}"	"[""Y0078"", ""Y0230""]"	2	"[""Y0078"", ""Y0230""]"	2	tight_union_of_text_children	[377, 2270, 1500, 2398]	0.02601000834028357	[478, 2294, 1484, 2387]	text	3.68884787866811	Q0004	4	main	main; small_text_label_panel; tight_union_of_text_children; gain=2
main500	BM000521570	small_text_label_panel	/net/scratch/f70829xm/nhm_scribe_main500_yoloe1000_redpurple_v4_auxbarrier/02_boxlogic/BM000521570/05_final_queue/crops/Q0005_main_small_text_label_panel.jpg	extras/csf3_vision_ocr/main500_yoloe26_redpurple_v4/02_boxlogic/BM000521570/05_final_queue/final_ocr_queue.tsv	0.01271559633027523	P0004	"{""handwritten note"": 1, ""printed label"": 2}"	"[""Y0142"", ""Y0192"", ""Y0195""]"	3	"[""Y0142"", ""Y0192"", ""Y0195""]"	3	tight_union_of_text_children	[1203, 1, 1500, 155]	0.007426188490408674	[1228, 25, 1480, 131]	text	6.370168121119891	Q0005	5	main	main; small_text_label_panel; tight_union_of_text_children; gain=3
main500	BM000521570	isolated_text_label_panel	/net/scratch/f70829xm/nhm_scribe_main500_yoloe1000_redpurple_v4_auxbarrier/02_boxlogic/BM000521570/05_final_queue/crops/Q0006_rescue_isolated_text_label_panel.jpg	extras/csf3_vision_ocr/main500_yoloe26_redpurple_v4/02_boxlogic/BM000521570/05_final_queue/final_ocr_queue.tsv	0.01450403113705866	P0006	"{""annotation label"": 1}"	"[""Y0197""]"	1	"[""Y0197""]"	1	tight_union_of_text_children	[777, 604, 1034, 807]	0.009006116207951071	[801, 628, 1010, 783]	text	2.241398880559945	Q0006	6	rescue	rescue; isolated_text_label_panel; tight_union_of_text_children; gain=1
main500	BM000521755	main_text_label_panel	/net/scratch/f70829xm/nhm_scribe_main500_yoloe1000_redpurple_v4_auxbarrier/02_boxlogic/BM000521755/05_final_queue/crops/Q0001_main_main_text_label_panel.jpg	extras/csf3_vision_ocr/main500_yoloe26_redpurple_v4/02_boxlogic/BM000521755/05_final_queue/final_ocr_queue.tsv	0.2562305295950156	P0001	"{""handwritten note"": 5, ""primary specimen label"": 1, ""printed label"": 6, ""type specimen label"": 2}"	"[""Y0008"", ""Y0054"", ""Y0069"", ""Y0109"", ""Y0120"", ""Y0129"", ""Y0141"", ""Y0151"", ""Y0191"", ""Y0195"", ""Y0213"", ""Y0225"", ""Y0248"", ""Y0252"", ""Y0279"", ""Y0281"", ""Y0287""]"	17	"[""Y0008"", ""Y0054"", ""Y0069"", ""Y0109"", ""Y0120"", ""Y0129"", ""Y0141"", ""Y0151"", ""Y0191"", ""Y0195"", ""Y0213"", ""Y0225"", ""Y0248"", ""Y0252"", ""Y0279"", ""Y0281"", ""Y0287""]"	17	tight_union_of_text_children	[625, 1271, 1500, 2305]	0.18236023789294817	[700, 1357, 1447, 2219]	text	27.84332124110221	Q0001	1	main	main; main_text_label_panel; tight_union_of_text_children; gain=17
main500	BM000521755	small_text_label_panel	/net/scratch/f70829xm/nhm_scribe_main500_yoloe1000_redpurple_v4_auxbarrier/02_boxlogic/BM000521755/05_final_queue/crops/Q0002_main_small_text_label_panel.jpg	extras/csf3_vision_ocr/main500_yoloe26_redpurple_v4/02_boxlogic/BM000521755/05_final_queue/final_ocr_queue.tsv	0.08389039932030586	P0002	"{""annotation label"": 2, ""handwritten note"": 2, ""printed label"": 1}"	"[""Y0011"", ""Y0018"", ""Y0201"", ""Y0224"", ""Y0283""]"	5	"[""Y0011"", ""Y0018"", ""Y0201"", ""Y0224"", ""Y0283""]"	5	tight_union_of_text_children	[0, 947, 243, 2166]	0.06266496743132258	[1, 1049, 219, 2064]	text	11.385307059228055	Q0002	2	main	main; small_text_label_panel; tight_union_of_text_children; gain=5
main500	BM000521755	isolated_text_label_panel	/net/scratch/f70829xm/nhm_scribe_main500_yoloe1000_redpurple_v4_auxbarrier/02_boxlogic/BM000521755/05_final_queue/crops/Q0003_main_isolated_text_label_panel.jpg	extras/csf3_vision_ocr/main500_yoloe26_redpurple_v4/02_boxlogic/BM000521755/05_final_queue/final_ocr_queue.tsv	0.026404984423676014	P0006	"{""handwritten note"": 1}"	"[""Y0009""]"	1	"[""Y0009""]"	1	tight_union_of_text_children	[19, 2191, 591, 2354]	0.018333616539224017	[67, 2215, 543, 2351]	text	3.942515230559945	Q0003	3	main	main; isolated_text_label_panel; tight_union_of_text_children; gain=1
main500	BM000521755	small_text_label_panel	/net/scratch/f70829xm/nhm_scribe_main500_yoloe1000_redpurple_v4_auxbarrier/02_boxlogic/BM000521755/05_final_queue/crops/Q0004_main_small_text_label_panel.jpg	extras/csf3_vision_ocr/main500_yoloe26_redpurple_v4/02_boxlogic/BM000521755/05_final_queue/final_ocr_queue.tsv	0.0482107051826678	P0003	"{""catalog number"": 1, ""database label"": 1, ""handwritten note"": 1, ""type specimen label"": 1}"	"[""Y0167"", ""Y0251"", ""Y0255"", ""Y0290""]"	4	"[""Y0167"", ""Y0251"", ""Y0255"", ""Y0290""]"	4	tight_union_of_text_children	[1325, 413, 1498, 1397]	0.029028603794958936	[1349, 495, 1474, 1315]	text	8.0991715124341	Q0004	4	main	main; small_text_label_panel; tight_union_of_text_children; gain=4
main500	BM000521755	small_text_label_panel	/net/scratch/f70829xm/nhm_scribe_main500_yoloe1000_redpurple_v4_auxbarrier/02_boxlogic/BM000521755/05_final_queue/crops/Q0005_main_small_text_label_panel.jpg	extras/csf3_vision_ocr/main500_yoloe26_redpurple_v4/02_boxlogic/BM000521755/05_final_queue/final_ocr_queue.tsv	0.010455395072217502	P0005	"{""handwritten note"": 1, ""printed label"": 1}"	"[""Y0155"", ""Y0240""]"	2	"[""Y0155"", ""Y0240""]"	2	tight_union_of_text_children	[6, 0, 299, 126]	0.007007929764939111	[30, 1, 275, 102]	text	4.60407350866811	Q0005	5	main	main; small_text_label_panel; tight_union_of_text_children; gain=2
main500	BM000521755	isolated_text_label_panel	/net/scratch/f70829xm/nhm_scribe_main500_yoloe1000_redpurple_v4_auxbarrier/02_boxlogic/BM000521755/05_final_queue/crops/Q0006_main_isolated_text_label_panel.jpg	extras/csf3_vision_ocr/main500_yoloe26_redpurple_v4/02_boxlogic/BM000521755/05_final_queue/final_ocr_queue.tsv	0.05571509487397338	P0007	"{""handwritten note"": 1}"	"[""Y0186""]"	1	"[""Y0186""]"	1	tight_union_of_text_children	[1091, 0, 1473, 515]	0.04124723874256585	[1123, 11, 1441, 469]	text	2.667677170559945	Q0006	6	main	main; isolated_text_label_panel; tight_union_of_text_children; gain=1
main500	BM000521755	small_text_label_panel	/net/scratch/f70829xm/nhm_scribe_main500_yoloe1000_redpurple_v4_auxbarrier/02_boxlogic/BM000521755/05_final_queue/crops/Q0007_rescue_small_text_label_panel.jpg	extras/csf3_vision_ocr/main500_yoloe26_redpurple_v4/02_boxlogic/BM000521755/05_final_queue/final_ocr_queue.tsv	0.024481733220050976	P0004	"{""annotation label"": 1, ""herbarium stamp"": 1, ""primary specimen label"": 1}"	"[""Y0288""]"	1	"[""Y0141"", ""Y0252"", ""Y0288""]"	3	tight_union_of_text_children	[596, 2241, 1361, 2354]	0.014792976493911073	[660, 2265, 1297, 2347]	text	5.264634601119891	Q0007	7	rescue	rescue; small_text_label_panel; tight_union_of_text_children; gain=1
main500	BM000521755	isolated_text_label_panel	/net/scratch/f70829xm/nhm_scribe_main500_yoloe1000_redpurple_v4_auxbarrier/02_boxlogic/BM000521755/05_final_queue/crops/Q0008_rescue_isolated_text_label_panel.jpg	extras/csf3_vision_ocr/main500_yoloe26_redpurple_v4/02_boxlogic/BM000521755/05_final_queue/final_ocr_queue.tsv	0.006661002548853016	P0008	"{""annotation label"": 1}"	[]	0	"[""Y0225""]"	1	tight_union_of_text_children	[620, 1250, 844, 1355]	0.002841121495327103	[644, 1274, 820, 1331]	text	2.2449342005599453	Q0008	8	rescue	rescue; isolated_text_label_panel; tight_union_of_text_children; gain=0
main500	BM000521755	isolated_text_label_panel	/net/scratch/f70829xm/nhm_scribe_main500_yoloe1000_redpurple_v4_auxbarrier/02_boxlogic/BM000521755/05_final_queue/crops/Q0009_rescue_isolated_text_label_panel.jpg	extras/csf3_vision_ocr/main500_yoloe26_redpurple_v4/02_boxlogic/BM000521755/05_final_queue/final_ocr_queue.tsv	0.02060747663551402	P0009	"{""herbarium stamp"": 1}"	"[""Y0296""]"	1	"[""Y0296""]"	1	tight_union_of_text_children	[941, 1042, 1238, 1287]	0.013780515434721042	[966, 1066, 1213, 1263]	text	1.1743987205599453	Q0009	9	rescue	rescue; isolated_text_label_panel; tight_union_of_text_children; gain=1
main500	BM000521866	main_text_label_panel	/net/scratch/f70829xm/nhm_scribe_main500_yoloe1000_redpurple_v4_auxbarrier/02_boxlogic/BM000521866/05_final_queue/crops/Q0001_main_main_text_label_panel.jpg	extras/csf3_vision_ocr/main500_yoloe26_redpurple_v4/02_boxlogic/BM000521866/05_final_queue/final_ocr_queue.tsv	0.2821929451763706	P0001	"{""annotation label"": 2, ""barcode label"": 1, ""catalog number"": 2, ""handwritten note"": 4, ""primary specimen label"": 2, ""printed label"": 12, ""type specimen label"": 3}"	"[""Y0004"", ""Y0006"", ""Y0012"", ""Y0091"", ""Y0101"", ""Y0106"", ""Y0109"", ""Y0129"", ""Y0135"", ""Y0136"", ""Y0144"", ""Y0146"", ""Y0147"", ""Y0158"", ""Y0164"", ""Y0166"", ""Y0168"", ""Y0176"", ""Y0182"", ""Y0187"", ""Y0188"", ""Y0192"", ""Y0199"", ""Y0215"", ""Y0216"", ""Y0220""]"	26	"[""Y0004"", ""Y0006"", ""Y0012"", ""Y0091"", ""Y0101"", ""Y0106"", ""Y0109"", ""Y0129"", ""Y0135"", ""Y0136"", ""Y0144"", ""Y0146"", ""Y0147"", ""Y0158"", ""Y0164"", ""Y0166"", ""Y0168"", ""Y0176"", ""Y0182"", ""Y0187"", ""Y0188"", ""Y0192"", ""Y0199"", ""Y0215"", ""Y0216"", ""Y0220""]"	26	tight_union_of_text_children	[0, 1689, 1500, 2353]	0.2566935826604335	[0, 1749, 1500, 2353]	text	47.39198466600433	Q0001	1	main	main; main_text_label_panel; tight_union_of_text_children; gain=26
main500	BM000521866	main_text_label_panel	/net/scratch/f70829xm/nhm_scribe_main500_yoloe1000_redpurple_v4_auxbarrier/02_boxlogic/BM000521866/05_final_queue/crops/Q0002_main_main_text_label_panel.jpg	extras/csf3_vision_ocr/main500_yoloe26_redpurple_v4/02_boxlogic/BM000521866/05_final_queue/final_ocr_queue.tsv	0.04252500354157813	P0002	"{""catalog number"": 4, ""handwritten note"": 1, ""type specimen label"": 1}"	"[""Y0113"", ""Y0121"", ""Y0123"", ""Y0204"", ""Y0205"", ""Y0212""]"	6	"[""Y0113"", ""Y0121"", ""Y0123"", ""Y0204"", ""Y0205"", ""Y0212""]"	6	tight_union_of_text_children	[0, 1057, 157, 2013]	0.026161212636350756	[17, 1137, 133, 1933]	text	12.825855379055312	Q0002	2	main	main; main_text_label_panel; tight_union_of_text_children; gain=6
main500	BM000521866	isolated_text_label_panel	/net/scratch/f70829xm/nhm_scribe_main500_yoloe1000_redpurple_v4_auxbarrier/02_boxlogic/BM000521866/05_final_queue/crops/Q0003_main_isolated_text_label_panel.jpg	extras/csf3_vision_ocr/main500_yoloe26_redpurple_v4/02_boxlogic/BM000521866/05_final_queue/final_ocr_queue.tsv	0.05295707607309817	P0004	"{""handwritten note"": 1}"	"[""Y0082""]"	1	"[""Y0082""]"	1	tight_union_of_text_children	[1146, 676, 1500, 1204]	0.03789771922368607	[1176, 720, 1480, 1160]	text	2.746317460559945	Q0003	3	main	main; isolated_text_label_panel; tight_union_of_text_children; gain=1
